run_accession	sample_name
ERR1370101	1939.SKBTI.1314
ERR1370103	1939.SKBTI.1317
ERR1370105	1939.SKBTI.1320
ERR1370106	1939.SKBTI.1322
ERR1370109	1939.SKBTI.1325
ERR1370110	1939.SKBTI.1326
ERR1370111	1939.SKBTI.1327
ERR1370113	1939.SKBTI.1331
ERR1370116	1939.SKBTI.1334
ERR1370129	1939.SKBTI.1347
ERR1370131	1939.SKBTI.1349
ERR1370139	1939.SKBTI003.a
ERR1370142	1939.SKBTI006
ERR1370150	1939.SKBTI016
ERR1370153	1939.SKBTI020
ERR1370156	1939.SKBTI023
ERR1370160	1939.SKBTI027
ERR1370163	1939.SKBTI030
ERR1370166	1939.SKBTI033
ERR1370171	1939.SKBTI038
ERR1370179	1939.SKBTI046.a
ERR1370183	1939.SKBTI049
ERR1370184	1939.SKBTI050
ERR1370187	1939.SKBTI053
ERR1370189	1939.SKBTI055
ERR1370190	1939.SKBTI056
ERR1370194	1939.SKBTI060
ERR1370199	1939.SKBTI064
ERR1370201	1939.SKBTI066.a
ERR1370202	1939.SKBTI066.b
ERR1370203	1939.SKBTI067
ERR1370220	1939.SKBTI082.a
ERR1370231	1939.SKBTI091.b
ERR1370232	1939.SKBTI092.a
ERR1370233	1939.SKBTI092.b
ERR1370237	1939.SKBTI096
ERR1369460	1939.SKBTI.0265.b
ERR1369466	1939.SKBTI.0271.a
ERR1369468	1939.SKBTI.0272.a
ERR1369478	1939.SKBTI.0278
ERR1369480	1939.SKBTI.0280
ERR1369485	1939.SKBTI.0284
ERR1369488	1939.SKBTI.0287
ERR1369489	1939.SKBTI.0298
ERR1369491	1939.SKBTI.0304
ERR1369502	1939.SKBTI.0444
ERR1369514	1939.SKBTI.0491
ERR1369515	1939.SKBTI.0492
ERR1369516	1939.SKBTI.0493
ERR1369522	1939.SKBTI.0499
ERR1369526	1939.SKBTI.0505
ERR1369529	1939.SKBTI.0508
ERR1369534	1939.SKBTI.0514
ERR1369535	1939.SKBTI.0515
ERR1369554	1939.SKBTI.0534
ERR1369556	1939.SKBTI.0537
ERR1369557	1939.SKBTI.0538
ERR1369572	1939.SKBTI.0554
ERR1369579	1939.SKBTI.0561
ERR1369582	1939.SKBTI.0564
ERR1369583	1939.SKBTI.0565
ERR1369601	1939.SKBTI.0584
ERR1369606	1939.SKBTI.0590
ERR1369656	1939.SKBTI.0646
ERR1369657	1939.SKBTI.0647
ERR1369661	1939.SKBTI.0652
ERR1369667	1939.SKBTI.0659
ERR1369669	1939.SKBTI.0661
ERR1369672	1939.SKBTI.0664
ERR1369677	1939.SKBTI.0670
ERR1369679	1939.SKBTI.0672.a
ERR1369680	1939.SKBTI.0672.b
ERR1369682	1939.SKBTI.0675
ERR1369685	1939.SKBTI.0679
